campo1,campo2,campo3,campo4
09,Edisson Fernando Sigua Loja,true,15/08/1964
75,Juan Fernando Perez Lopez,false,01/12/1996
14,Jose Andres Bernal Rocano,false,30/07/1999
68,Pedro Miguel Calle Piedra,true,31/11/2000
29,Mateo Andres Peralta Gomez,false,19/01/2015
17,Marta Andrea Delgado Gomez,true,25/02/2012
31,Edisson Fernando Sigua Loja,true,01/06/1985
25,Juan Fernando Perez Lopez,false,29/09/2013
04,Jose Andres Bernal Rocano,false,17/07/2005
05,Pedro Miguel Calle Piedra,false,11/06/1980
13,Mateo Andres Peralta Gomez,true,28/01/1975
18,Marta Andrea Delgado Gomez,true,10/01/2003
72,Edisson Fernando Sigua Loja,false,01/07/1996
46,Juan Fernando Perez Lopez,true,09/05/1991
61,Jose Andres Bernal Rocano,false,15/12/2016
15,Juan Andres Perez Mejia,true,29/09/2013
200,Pedro Pablo Escobar Gaviria,false,29/09/2013
